t32339aep|QRFPR_HUMAN,0.0158445486277315
t32328aep|SPIT3_HUMAN,0.000449006912507063
t32350aep|DCA15_BOVIN,0.0242096729887685
t32866aep|PDD2L_CHICK,0.0180665733663445
t32898aep|CAC1B_RAT,0.0348912641889922
t32875aep|RPAP3_MOUSE,0.149777795068185
t32895aep|RMR2_ORYSJ,0.00913594931959674
t32881aep|OPN3_MOUSE,0.0079049884928549
t32890aep|MMP25_HUMAN,0.00263115248132942
t32887aep|TOPB1_HUMAN,0.0160817905811725
t32888aep|ANR31_HUMAN,0.0148158921778417
t32894aep|MYO1A_MOUSE,0.0519812711416997
t32896aep|LOX5_RAT,0.00263115248132942
t37687aep|DBP8_BOTFB,0.033652307174381
t37698aep|S18B1_MOUSE,0.0115342076704113
t37690aep|RNF4_HUMAN,0.147204010979423
t37699aep|AGTRB_MOUSE,0.0333928111998046
t33231aep|CLPX_MOUSE,0.116748174608064
t33221aep|MP62_LYTPI,0.625341798134659
t33233aep|RAD1_PONAB,0.0105476691756932
t33209aep|RBM48_MOUSE,0.076407977954899
t33213aep|CEP44_XENTR,0.0103979887891907
t33223aep|ZMYM1_HUMAN,0.0105476691756932
t33205aep|KCNQ1_SQUAC,0.190558844777744
t33214aep|EXOS1_HUMAN,0.0619940469819661
t33843aep|Y2R2_DROME,0.00263115248132942
t33844aep|RTJK_DROME,0.00526614911684996
t33855aep|RASF2_MOUSE,0.369958617656342
t33867aep|NADK_MOUSE,0.00949550747610266
t33849aep|CATL_SARPE,0.733926197224746
t33858aep|RIMK_SYNPX,0.14582087389555
t33864aep|CNTP5_CANLF,0.00151294689724206
t33853aep|RN220_HUMAN,0.156993607845246
t33869aep|OSBL8_MOUSE,0.000302956853228783
t33868aep|CCS_PIG,0.019772465554496
t33856aep|PARD3_HUMAN,0.215593828072549
t35769aep|S36A1_HUMAN,0.0318272230893744
t35773aep|FRIS_LYMST,1.42365374742314
t35772aep|MED23_DANRE,0.0316460191210737
t35780aep|DDX23_HUMAN,0.182751267195479
t35771aep|RASEF_MOUSE,0.0264760242776671
t35781aep|NISCH_HUMAN,0.00195158238990142
t35770aep|B3GLT_HUMAN,0.124278077199619
t37409aep|ATS9_HUMAN,0.00263115248132942
t37422aep|ADA12_MOUSE,0.0782226042308553
t37423aep|CCD83_MACFA,0.00965538672905163
t37416aep|DEN1A_XENLA,0.0565009752840369
t37404aep|FIGL1_RAT,0.0667910114601925
t37395aep|CC148_HUMAN,0.0680648393040263
t37426aep|MALT1_HUMAN,0.0155786446669344
t37418aep|CHSS2_HUMAN,0.0175972129799401
t37413aep|MACF1_HUMAN,0.0131031038876093
